aet_mean,def_mean,pdsi_mean,ppt_mean,soil_mean,tmax_mean,tmin_mean,pet_mean,q_mean,srad_mean,swe_mean,vap_mean,vpd_mean,ws_mean,occurrenceStatus
85.558334,23.75,-1.4224995,105.89167,92.4,22.773335,12.931668,109.175,20.48333333333333,191.36666666666667,0.0,1.4216666345794997,0.7049999862909317,3.7908333857854206,0
81.425,27.583334,-1.5199996,96.9,77.50833,23.015001,12.455835,108.91666666666669,15.508333333333333,192.475,0.0,1.4237499689062436,0.7019999844332536,3.7400000512599942,0
40.25,78.125,-0.74166626,43.325,18.675,22.987501,9.519168,118.30833333333334,3.208333333333333,197.4833333333333,0.0,1.050749978919824,1.0514999768386284,3.034166716535886,0
81.36667,24.425,-1.3266662,98.49167,102.691666,21.960003,10.971667,105.775,17.183333333333334,191.55,0.0,1.3131666367252668,0.6571666491528352,3.7850000460942583,0
38.675,72.225,-0.8916663,44.075,27.45,19.626669,12.530835,110.9,5.466666666666667,200.625,0.0,1.1874166374405226,0.71066664904356,4.518333415190379,0
85.03333,27.508333,-1.5241662,102.55,87.25833,23.140835,13.360836,112.475,17.625,194.225,0.0,1.4652499640981356,0.7102499835193157,4.123333400487899,0
104.09167,30.008333,-0.39583293,169.825,287.01666,27.743336,18.660002,134.06666666666666,65.8,224.7333333333333,0.0,2.1990832835435867,0.7509999861319859,5.31666676402092,0
91.166664,24.283333,-0.36749962,117.316666,119.441666,24.59167,13.560836,115.40833333333332,26.58333333333333,203.46666666666667,0.0,1.576583296060562,0.7583333154519399,3.670833392937978,0
44.5,66.0,-1.2624996,51.083332,20.025,20.201668,7.755002,110.48333333333332,6.675,185.55,0.0,0.9704166437188784,0.7943333139022192,4.017500076691309,0
49.1,92.875,-2.7116663,52.683334,56.1,24.630001,13.507502,141.875,3.75,231.66666666666663,0.0,1.356499967475732,1.048166641096274,4.655833415190378,0
57.341667,52.166668,-0.785833,64.316666,29.333334,20.965002,7.0775013,109.39166666666668,7.233333333333333,199.74166666666667,0.0,1.0112499778469404,0.7823333152880271,3.286666715145111,0
65.066666,34.066666,-1.268333,73.00833,49.816666,20.865002,10.166669,99.00833333333334,8.0,190.5,0.0,1.2644166360298792,0.5866666520635287,3.740000057220459,0
62.883335,49.091667,-1.2699997,66.575,37.416668,24.113337,11.255835,111.91666666666669,3.783333333333333,194.79166666666663,0.0,1.3318333039681116,0.8602499820291996,2.9975000570217767,0
68.291664,21.516666,-1.0199996,83.59167,84.24167,17.058334,6.4233346,89.80833333333334,15.516666666666667,193.1,0.0,0.9952499762177468,0.4889166556298733,3.47166672150294,0
65.11667,45.441666,-1.1516664,69.36667,37.733334,24.300837,11.105001,110.51666666666668,4.4,194.7333333333333,0.0,1.3059166381756464,0.8986666470766067,2.693333385388057,0
64.125,18.95,-0.3924996,82.816666,79.575,15.0666685,3.5208344,83.075,18.716666666666665,185.40833333333333,0.2916666666666667,0.8562499811251958,0.4258333231012026,4.020000078280767,0
84.7,31.175,-1.7499998,96.48333,130.3,23.657501,13.581669,115.83333333333331,12.075,196.925,0.0,1.506416633228461,0.7181666495899359,4.353333405653635,0
